name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,ExitosColombia,7,2024-03-15
EMPELOTICA,"Lenny Tavárez, Feid",EMPELOTICA,2024-02-22,0dKsNKiWmqkoz8YAUzfigC,https://i.scdn.co/image/ab67616d0000b2732733f74a1fce417cf2c3c307,ExitosColombia,15,2024-03-15
Aimée pour de vrai (Héléna),Star Academy,L'album de la promo 2023,2024-03-01,5peFNKKLZUaOYE0c3qZNE1,https://i.scdn.co/image/ab67616d0000b273d9b8a8ac2dfc8f6f2ce90355,GrandHit,2,2024-03-15
Years Roll By,"Vansire, MUNYA, JORDANN",Years Roll By,2024-03-01,0pVG9Vj40uY2Z7D4afDEPT,https://i.scdn.co/image/ab67616d0000b27332bc87b9ce24762957e5dc3f,CafeCroissant,3,2024-03-15
Imaan,Mustafa,Imaan,2024-03-05,1ydE5C1KehuCQI8EM3qXrQ,https://i.scdn.co/image/ab67616d0000b273e0ec7cbc0d2232d91812c817,CafeCroissant,4,2024-03-15
Cape Forestier,Angus & Julia Stone,Cape Forestier,2024-03-08,5koL7879f8j0pvdVGj3vcv,https://i.scdn.co/image/ab67616d0000b273f98cc65e2c2d09d1d4854f93,CafeCroissant,8,2024-03-15
May Ninth,Khruangbin,May Ninth,2024-02-20,2145px2VY14o2Pgr0OIttX,https://i.scdn.co/image/ab67616d0000b2733f22386ef429457f95b79520,CafeCroissant,9,2024-03-15
Tejano Blue,Cigarettes After Sex,Tejano Blue,2024-02-28,6sQ833YbGp8SbtGcLCBwHw,https://i.scdn.co/image/ab67616d0000b2739f2bb7d1a5c3cfd905514b06,CafeCroissant,11,2024-03-15
Dark Black,Marie Sarah,Dark Black,2024-03-01,15QWUDaLNNYvd8aXdj9GfK,https://i.scdn.co/image/ab67616d0000b273b94028b57bc031d90df992bd,CafeCroissant,13,2024-03-15
Good Torture (with Elyanna),"Sevdaliza, Elyanna",Good Torture (with Elyanna),2024-03-01,3s29qreJr2KU7BFSiDtw0U,https://i.scdn.co/image/ab67616d0000b273073e82daca18b7477eb9a679,CafeCroissant,14,2024-03-15
Letting Go,Hollow Coves,Nothing to Lose,2024-03-01,19AMrr1Gef190GG13TjZYh,https://i.scdn.co/image/ab67616d0000b273dca375ea72f86452e2d1d4c1,CafeCroissant,23,2024-03-15
EXCESO,"Sebastian Esquivel, Blessd, Eugenio Esquivel",EXCESO,2024-03-11,6icPJycbKyxzR3RAbXxjj1,https://i.scdn.co/image/ab67616d0000b2733e99ee5e0941b055267d9857,VivaLatino,4,2024-03-15
1000COSAS,"Lola Indigo, Manuel Turizo",1000COSAS,2024-03-07,6xqQDwzjswlToEEHgvA3KM,https://i.scdn.co/image/ab67616d0000b27382bab0e22f0937d4cf16784e,VivaLatino,5,2024-03-15
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,VivaLatino,6,2024-03-15
Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL,Patadas de Ahogado / LATIN MAFIA (Rework),2024-02-22,14S2VMZRhekYGluotZ4pqg,https://i.scdn.co/image/ab67616d0000b27315d68aedae3af57cc27a0426,VivaLatino,11,2024-03-15
Madonna,"Natanael Cano, Oscar Maydon",Madonna,2024-03-08,5LhI8m7n8xlQmNe3b7Rwis,https://i.scdn.co/image/ab67616d0000b273fcd2820c9b859adc64a64b88,VivaLatino,12,2024-03-15
Ya Pedo Quién Sabe,"Grupo Frontera, Christian Nodal",Ya Pedo Quién Sabe,2024-03-07,3dNLpNsPJ3zvlVu8s5vll0,https://i.scdn.co/image/ab67616d0000b2739b81494a007aec37f94e3cec,VivaLatino,13,2024-03-15
Lollipop - Remix,"Darell, Ozuna, Maluma",Lollipop (Remix),2024-02-15,1S2WWT5jW9J3MauQ7r7qN4,https://i.scdn.co/image/ab67616d0000b273d47a89d4d4a517886d45b5f6,VivaLatino,15,2024-03-15
A Tu Manera,"Junior H, Peso Pluma",A Tu Manera,2024-02-16,2500EpUpryOBJX0rO8fDuB,https://i.scdn.co/image/ab67616d0000b273f75bca7da8d60de3f04cdc7f,VivaLatino,16,2024-03-15
EMPELOTICA,"Lenny Tavárez, Feid",EMPELOTICA,2024-02-22,0dKsNKiWmqkoz8YAUzfigC,https://i.scdn.co/image/ab67616d0000b2732733f74a1fce417cf2c3c307,VivaLatino,17,2024-03-15
DESATAAA,"Ovy On The Drums, Myke Towers, SAIKO",DESATAAA,2024-03-13,2vh03XeMmNRwxiAztk01Pe,https://i.scdn.co/image/ab67616d0000b273de8b2296506e58ad6d827c9a,VivaLatino,19,2024-03-15
X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel",X'CLUSIVO (REMIX),2024-02-29,62k8iliO7KTiYp7LWGPa5p,https://i.scdn.co/image/ab67616d0000b2735327757614a832374e491778,VivaLatino,29,2024-03-15
Something Blue,VOILÀ,Something Blue,2024-03-08,1XQecFY99zarSryU7dS1RN,https://i.scdn.co/image/ab67616d0000b273dca6f7951ff1beee9a8af7f1,PopRock,15,2024-03-15
Lollipop - Remix,"Darell, Ozuna, Maluma",Lollipop (Remix),2024-02-15,1S2WWT5jW9J3MauQ7r7qN4,https://i.scdn.co/image/ab67616d0000b273d47a89d4d4a517886d45b5f6,ThisIsMaluma,4,2024-03-08
Doctor (Work It Out) [feat. Miley Cyrus],"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],2024-03-01,4f9wNNZET9wH7eMBgONd3d,https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1,JustHits,2,2024-03-08
Love On,Selena Gomez,Love On,2024-02-22,2fB5YRuD88drKpCXQOAk03,https://i.scdn.co/image/ab67616d0000b2731dd155d9de58c834e0eb38b6,JustHits,3,2024-03-08
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,JustHits,4,2024-03-08
"yes, and? (with Mariah Carey)","Ariana Grande, Mariah Carey","yes, and?",2024-02-16,2z65iWKbjfz4Ey2URvO1pt,https://i.scdn.co/image/ab67616d0000b2733916c10d3f7a8cada1bb30c9,JustHits,9,2024-03-08
EASY (English ver.),LE SSERAFIM,EASY (English ver.),2024-02-23,3y5nzCgwQPoaYWTdoKxWTo,https://i.scdn.co/image/ab67616d0000b273c629ad220477b75a258a8b2d,JustHits,25,2024-03-08
it is what it is,Abe Parker,it is what it is,2024-02-15,0DiwE0n9CdMBf8Ow3g5C2F,https://i.scdn.co/image/ab67616d0000b273feacf86aa8483b2a001a9085,BigOnTheInternet,21,2024-03-08
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,ExitosColombia,3,2024-03-08
EMPELOTICA,"Lenny Tavárez, Feid",EMPELOTICA,2024-02-22,0dKsNKiWmqkoz8YAUzfigC,https://i.scdn.co/image/ab67616d0000b2732733f74a1fce417cf2c3c307,ExitosColombia,17,2024-03-08
Tejano Blue,Cigarettes After Sex,Tejano Blue,2024-02-28,6sQ833YbGp8SbtGcLCBwHw,https://i.scdn.co/image/ab67616d0000b2739f2bb7d1a5c3cfd905514b06,CafeCroissant,1,2024-03-08
May Ninth,Khruangbin,May Ninth,2024-02-20,2145px2VY14o2Pgr0OIttX,https://i.scdn.co/image/ab67616d0000b2733f22386ef429457f95b79520,CafeCroissant,2,2024-03-08
Dark Black,Marie Sarah,Dark Black,2024-03-01,15QWUDaLNNYvd8aXdj9GfK,https://i.scdn.co/image/ab67616d0000b273b94028b57bc031d90df992bd,CafeCroissant,5,2024-03-08
Good Torture (with Elyanna),"Sevdaliza, Elyanna",Good Torture (with Elyanna),2024-03-01,3s29qreJr2KU7BFSiDtw0U,https://i.scdn.co/image/ab67616d0000b273073e82daca18b7477eb9a679,CafeCroissant,8,2024-03-08
Years Roll By,"Vansire, MUNYA, JORDANN",Years Roll By,2024-03-01,0pVG9Vj40uY2Z7D4afDEPT,https://i.scdn.co/image/ab67616d0000b27332bc87b9ce24762957e5dc3f,CafeCroissant,10,2024-03-08
Letting Go,Hollow Coves,Nothing to Lose,2024-03-01,19AMrr1Gef190GG13TjZYh,https://i.scdn.co/image/ab67616d0000b273dca375ea72f86452e2d1d4c1,CafeCroissant,22,2024-03-08
Broken Man,St. Vincent,Broken Man,2024-02-29,7ClwnN5j16cc6i5MqWFgHK,https://i.scdn.co/image/ab67616d0000b273721ec8e8dfb11746e14f3c98,RockThis,1,2024-03-08
Friendly Fire,Linkin Park,Friendly Fire,2024-02-23,1rAzOr3zpUDRtN2zsqGHiG,https://i.scdn.co/image/ab67616d0000b27337d322b43b5f3aa0215fa0e1,RockThis,2,2024-03-08
Overcompensate (edit),Twenty One Pilots,Overcompensate,2024-02-29,7kcApwUclbIw9B6MuVmqPc,https://i.scdn.co/image/ab67616d0000b273d1e9c8027e794228dc35ad26,RockThis,4,2024-03-08
Mustang,Kings of Leon,Mustang,2024-02-22,5y1kheWw8d3DHl8bv5aEE8,https://i.scdn.co/image/ab67616d0000b273448ceb2c8dbd9454df3c86e6,RockThis,7,2024-03-08
The Matrix,Mother Mother,Grief Chapter,2024-02-16,0GDfRJ1ewazvrnY5l8VXp7,https://i.scdn.co/image/ab67616d0000b273415623894d507d8f0dfc6b56,RockThis,20,2024-03-08
Gift Horse,IDLES,TANGK,2024-02-16,67CrKLE8d3Qhm4gcltiKs1,https://i.scdn.co/image/ab67616d0000b273838fbd7f0f3d02d2235cd121,RockThis,26,2024-03-08
Saturn,SZA,Saturn,2024-02-22,1bjeWoagtHmUKputLVyDxQ,https://i.scdn.co/image/ab67616d0000b273d70916ee9e40c90380ba5f07,TodayTopHits,7,2024-03-08
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,TodayTopHits,8,2024-03-08
