name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,2024-11-08,3mg9jYNC1NihbthlglzrWP,https://i.scdn.co/image/ab67616d0000b273c665371d5e70273a44a8e301,ThisIsMaluma,1,2024-11-22
2 hands,Tate McRae,2 hands,2024-11-14,1f18HzFpegqvH4ibGJyeMJ,https://i.scdn.co/image/ab67616d0000b2733b53b3afd0c28613b964769e,TodayTopHits,15,2024-11-22
Disease,Lady Gaga,Disease,2024-10-25,19KlZwqlT3fguP2BeHF1Q1,https://i.scdn.co/image/ab67616d0000b273465e58cfc2ee480a7d0ae59d,TodayTopHits,16,2024-11-22
number one girl,ROSÉ,number one girl,2024-11-22,02CrqOYzrJR8fYOffhvRZZ,https://i.scdn.co/image/ab67616d0000b2731f4e52a9789b9fa4f30d16dc,TodayTopHits,18,2024-11-22
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,2024-10-28,3tFed7YsjGnIfxeLEQwx3R,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c,TodayTopHits,24,2024-11-22
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,0l0vcZMU7AOeQmUIREoI2U,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,TodayTopHits,26,2024-11-22
Sigueme Besando Asi,Manuel Turizo,Sigueme Besando Asi,2024-11-20,5Pe01pJteufOjmf7KZeFJB,https://i.scdn.co/image/ab67616d0000b2734d41a889222d674ec0465c6f,VivaLatino,1,2024-11-22
Kamikaze (feat. Victor Mendivil),"Natanael Cano, Uriel Gaxiola, Ganggy, Victor Mendivil",Kamikaze (feat. Victor Mendivil),2024-11-14,6fKvGaO8Dfntvx4thaXtak,https://i.scdn.co/image/ab67616d0000b273bbae836030105fb4a56cf963,VivaLatino,5,2024-11-22
Imagínate,"Danny Ocean, Kapo",Imagínate,2024-11-07,4zbEItKoaRId1vRZkoO0Uh,https://i.scdn.co/image/ab67616d0000b2737c8510f493813b5730a6f7ba,VivaLatino,6,2024-11-22
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,2024-11-15,0l0vcZMU7AOeQmUIREoI2U,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,VivaLatino,7,2024-11-22
DEPORTIVO,"Blessd, Anuel AA",DEPORTIVO,2024-11-14,0fKK51bU6lcCCwdNnv64t3,https://i.scdn.co/image/ab67616d0000b2739fee5cdf2743b01c5df33122,VivaLatino,10,2024-11-22
Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,2024-11-15,1YYfyJ2yCvGFCxwjsIqEK9,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,VivaLatino,11,2024-11-22
SEXO ES LA MODA,"Maria Becerra, Yandel",SEXO ES LA MODA,2024-10-31,4U80gkwi6Qk0fBRcDuzn3E,https://i.scdn.co/image/ab67616d0000b273a369f08ddb14f6a5c7382be6,VivaLatino,12,2024-11-22
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,2024-11-08,3mg9jYNC1NihbthlglzrWP,https://i.scdn.co/image/ab67616d0000b273c665371d5e70273a44a8e301,VivaLatino,13,2024-11-22
LOS DÍAS CONTADOS,"Quevedo, Rels B",BUENAS NOCHES,2024-11-22,0ffPRT5WW86ecgGWGf5CyY,https://i.scdn.co/image/ab67616d0000b2734b690afba75a356fcdad526e,VivaLatino,14,2024-11-22
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,VivaLatino,15,2024-11-22
Ferxxoko,"Joyce Santana, Feid",Ferxxoko,2024-10-31,12VjaTNEaCfDlvW1XPZTQ9,https://i.scdn.co/image/ab67616d0000b273960d295209428b711841cbc7,VivaLatino,16,2024-11-22
Nueva Era,"Duki, Myke Towers",AMERI,2024-10-31,03IpZ9yqJlo3EIgDQUgBSF,https://i.scdn.co/image/ab67616d0000b273ee67e1ebdbc7a30772972a48,VivaLatino,17,2024-11-22
DURO,Quevedo,DURO,2024-10-31,1kyLInQ2qgYbK4wZxllfV2,https://i.scdn.co/image/ab67616d0000b273f5cb042b2e6d3d6915328e0f,VivaLatino,18,2024-11-22
